PlayerId,FirstTournament,LastTournament,CareerLengthYears,TotalUSDPrize,CurrentHandle,CareerStatus,StartYear,EndYear,GameType,FirstTournamentYear,TotalTournaments,GameId_x,LastTournamentYear,GameId_y,GameId,GameName,RecentEarningsUSD
15530,2015-04-12,2024-04-28,9.045859000684462,1865667.57,kpii,Ongoing,2015,2024,MOBA,2015,88,231,2024,231,231,Dota 2,415378.0
15708,2015-03-15,2025-05-11,10.157426420260096,3365479.03,33,Ongoing,2015,2025,MOBA,2015,106,231,2025,231,231,Dota 2,14966629.0
15718,2015-03-07,2022-09-01,7.488021902806297,458795.42,Rich,Inactive,2015,2022,MOBA,2015,37,371,2022,371,371,Heroes of the Storm,72700000.0
15724,2015-03-07,2022-10-16,7.611225188227242,354363.98,Ttsst,Inactive,2015,2022,MOBA,2015,32,371,2022,371,371,Heroes of the Storm,6000800.0
15754,2013-12-29,2017-11-12,3.871321013004791,653514.33,Shiki,Inactive,2013,2017,MOBA,2013,16,231,2017,231,231,Dota 2,0.0
15792,2015-05-01,2025-03-16,9.875427789185489,771351.93,Peanut,Ongoing,2015,2025,MOBA,2015,41,164,2025,164,164,League of Legends,996059500.0
15806,2015-03-22,2021-05-20,6.16290212183436,392825.7,343,Inactive,2015,2021,MOBA,2015,34,231,2021,231,231,Dota 2,248300.0
15807,2015-03-22,2024-02-04,8.873374401095141,546264.32,Moon,Ongoing,2015,2024,MOBA,2015,66,231,2024,231,231,Dota 2,800800.0
15855,2015-03-25,2025-05-11,10.130047912388775,6011771.49,Miposhka,Ongoing,2015,2025,MOBA,2015,121,231,2025,231,231,Dota 2,28965590.0
15924,2019-03-17,2024-08-18,5.423682409308693,761958.33,Kismet,Ongoing,2019,2024,FPS,2019,48,749,2024,749,749,Call of Duty: Vanguard,2894500.0
16021,2015-03-29,2025-03-01,9.924709103353868,400844.18,doinb,Ongoing,2015,2025,MOBA,2015,24,164,2025,164,164,League of Legends,3301670.89
16031,2015-03-15,2024-10-20,9.60164271047228,646084.53,Gachikun,Ongoing,2015,2024,Fighting,2015,38,536,2024,536,536,Street Fighter V: Arcade Edition,13437021.2
16267,2015-04-05,2025-05-18,10.119096509240247,1650967.01,electroNic,Ongoing,2015,2025,FPS,2015,132,245,2025,245,245,Counter-Strike: Global Offensive,6490625.0
16270,2015-04-05,2025-05-18,10.119096509240247,838351.78,Chopper,Ongoing,2015,2025,FPS,2015,104,245,2025,245,245,Counter-Strike: Global Offensive,3797675.0
16336,2016-11-30,2025-04-27,8.405201916495551,458874.85,Timado,Ongoing,2016,2025,MOBA,2016,65,231,2025,231,231,Dota 2,2129660.0
16759,2015-03-08,2023-03-26,8.049281314168377,404021.96,HugeGorilla,Inactive,2015,2023,Sports,2015,34,621,2023,621,621,FIFA 20,118415.75
16800,2015-04-05,2024-06-02,9.160848733744011,1208508.91,Stewie2k,Ongoing,2015,2024,FPS,2015,190,245,2024,245,245,Counter-Strike: Global Offensive,904366.0
16814,2015-04-05,2024-11-24,9.639972621492129,2207611.08,RAMZES666,Ongoing,2015,2024,MOBA,2015,111,231,2024,231,231,Dota 2,2576416.0
17101,2015-04-26,2024-11-02,9.522245037645447,850114.07,Xiaohu,Ongoing,2015,2024,MOBA,2015,40,164,2024,164,164,League of Legends,6862000.0
17158,2015-04-04,2024-07-21,9.297741273100616,325927.76,Assault,Ongoing,2015,2024,FPS,2015,54,749,2024,749,749,Call of Duty: Vanguard,354500.0
17200,2015-04-24,2025-04-27,10.009582477754963,1063804.1,Kuku,Ongoing,2015,2025,MOBA,2015,73,231,2025,231,231,Dota 2,1930364.0
17226,2015-03-29,2023-02-19,7.8959616700889805,488009.02,julio,Inactive,2015,2023,FPS,2015,35,439,2023,439,439,Rainbow Six Siege,2380500.0
17238,2015-04-29,2023-04-03,7.928815879534565,430272.94,Eyyou,Inactive,2015,2023,MOBA,2015,32,231,2023,231,231,Dota 2,166000.0
17324,2015-05-03,2025-01-31,9.749486652977414,391360.94,Lelis,Ongoing,2015,2025,MOBA,2015,67,231,2025,231,231,Dota 2,1736711.0
17434,2015-05-06,2025-04-27,9.976728268309378,328757.81,VINI,Ongoing,2015,2025,FPS,2015,113,245,2025,245,245,Counter-Strike: Global Offensive,1245750.0
17616,2015-05-17,2024-04-28,8.950034223134839,592510.78,StingeR,Ongoing,2015,2024,MOBA,2015,74,231,2024,231,231,Dota 2,1730183.0
17622,2015-05-17,2024-05-19,9.007529089664613,408619.73,Amanek,Ongoing,2015,2024,FPS,2015,133,245,2024,245,245,Counter-Strike: Global Offensive,1111250.0
17765,2015-05-20,2025-05-11,9.976728268309378,3745426.48,Nisha,Ongoing,2015,2025,MOBA,2015,102,231,2025,231,231,Dota 2,14939844.0
17800,2015-04-26,2025-05-04,10.023271731690622,1934223.63,Magisk,Ongoing,2015,2025,FPS,2015,144,245,2025,245,245,Counter-Strike: Global Offensive,3171000.0
17801,2015-04-26,2025-04-27,10.004106776180699,402880.86,Valde,Ongoing,2015,2025,FPS,2015,111,245,2025,245,245,Counter-Strike: Global Offensive,903250.0
17872,2015-05-23,2024-05-10,8.966461327857632,992463.55,Yang,Ongoing,2015,2024,MOBA,2015,69,231,2024,231,231,Dota 2,2090315.0
17877,2015-02-08,2024-11-01,9.730321697467488,830182.26,Insight,Ongoing,2015,2024,FPS,2015,57,626,2024,626,626,Call of Duty: Modern Warfare,3307500.0
17887,2015-05-17,2020-09-13,5.327857631759069,348648.0,Pavel,Inactive,2015,2020,Card Game,2015,33,328,2020,328,328,Hearthstone,5100.0
18220,2015-06-02,2023-10-29,8.407939767282683,899311.33,Moo,Inactive,2015,2023,MOBA,2015,76,231,2023,231,231,Dota 2,467754.0
18268,2015-06-05,2023-04-13,7.854893908281999,399383.73,Zer0,Inactive,2015,2023,FPS,2015,84,364,2023,364,364,Call of Duty: Advanced Warfare,639500.0
18332,2015-05-10,2021-11-22,6.537987679671458,346638.85,SiLLY,Inactive,2015,2021,FPS,2015,47,364,2021,364,364,Call of Duty: Advanced Warfare,205500.0
18452,2014-02-23,2025-05-11,11.211498973305956,2132343.66,Boxi,Ongoing,2014,2025,MOBA,2014,109,231,2025,231,231,Dota 2,9498905.0
18568,2015-06-13,2022-10-16,7.342915811088296,360243.52,Reset,Inactive,2015,2022,MOBA,2015,30,371,2022,371,371,Heroes of the Storm,750.0
18570,2015-06-13,2018-11-03,3.3921971252566734,462790.78,sake,Inactive,2015,2018,MOBA,2015,30,371,2018,371,371,Heroes of the Storm,0.0
