GameName,TotalUSDPrize,TotalTournaments,TotalPlayers,GameId
Quake III Arena,1200891.73,117,312,159
Aliens versus Predator 2,43500.00,2,2,246
QuakeWorld,104913.39,16,57,160
Free Fire,19125992.14,96,1727,598
Super Smash Bros. Ultimate,2929881.74,1757,2419,558
Brawl Stars,9171511.80,210,704,586
Rennsport,2131805.52,9,65,849
rFactor 2,2219963.12,103,557,526
iRacing.com,3757336.03,189,1302,532
Assetto Corsa Competizione,597125.90,65,515,659
Age of Empires II,4215702.03,2107,2380,179
Age of Empires IV,1327343.31,514,735,746
FIFA 16,118401.61,29,62,421
FIFA 15,144373.99,352,167,362
Teamfight Tactics,9622418.25,113,892,592
NBA 2K22,2650000.00,7,92,845
NBA 2K21,1330501.00,3,64,737
Madden NFL 18,423676.62,3,40,519
Madden NFL 17,1004000.00,5,42,475
Madden NFL 16,50000.00,1,8,476
Madden NFL 13,400000.00,1,8,275
Madden NFL 08,100000.00,1,1,479
F1 22,750324.00,2,25,824
F1 2021,765939.00,4,35,752
F1 2020,752235.00,3,42,707
F1 2019,538047.38,2,25,610
F1 2018,200000.00,1,21,579
ZeroSpace,20000.00,2,11,865
Naraka: Bladepoint,5558830.52,16,205,780
Gears 5,2320920.00,112,163,595
Gears of War 4,3142785.00,152,155,452
Gears of War: Ultimate Edition,170000.00,3,39,505
Age of Empires,838701.05,372,686,510
rFactor,15083.56,4,51,700
SMITE,12580110.75,110,556,351
Legends of Runeterra,718091.03,33,284,644
Madden NFL 19,1269992.00,5,45,573
Virtua Fighter 5: Ultimate Showdown,17070.00,4,22,537
Madden NFL 25,100000.00,1,8,870
