NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments,PlayerId
Anas,El-Abd,Anas,dk,95,10,1622990.05,139,83369
Yangwei,Ren,old eLeVeN,cn,96,23,1570503.07,77,21950
Emil,Bergquist Pedersen,Nyhrox,no,97,2,1543145.69,33,54656
Peng,Du,Monet,cn,98,24,1535720.98,78,30452
Yaoqin,Huang,QingRong,cn,99,25,1535223.32,18,90008
Zhicheng,Zhang,LaNm,cn,100,26,1529400.71,82,2582
Jiaoyang,Zeng,Ori,cn,101,27,1527561.42,76,28739
Magnus,Carlsen,MagnusCarlsen,no,102,3,1521051.02,145,75863
Michał,Kamiński,Kami,pl,103,2,1513689.2,169,72536
Tianlong,Wang,Alan,cn,104,28,1508589.45,18,60485
Lin,Jing,Xxs,cn,105,29,1508341.42,96,26666
Rasmus,Fillipsen,MiSeRy,dk,106,11,1505197.74,94,2589
Anton,Shkredov,dyrachYO,ru,107,9,1455949.6,54,78466
-,-,Kakeru,jp,108,1,1455614.85,15,99573
Alec,Sanderson,Arcitys,us,110,12,1426929.09,62,31870
Valeriy,Vakhovskiy,B1t,ua,109,6,1431957.7,71,73128
Ian,Porter,C6,us,111,13,1418092.8,172,1216
Adrian,Trinks,FATA,de,112,3,1410552.48,121,3690
Tianhao,Liu,YiZ,cn,113,30,1407681.64,21,89896
Chao,Lu,Fenrir,cn,114,31,1406042.25,77,4030
Vladimir,Nikogosyan,RodjER,am,115,1,1404636.1,72,28142
Yang,Fan,Fanfan,cn,116,32,1403112.86,17,97601
Bocheng,Zhu,paraboy,cn,117,33,1399954.36,40,69516
Pan,Zhang,Mu,cn,118,34,1390711.71,48,3147
Melchior,Hillenkamp,Seleri,nl,119,1,1382064.91,91,21640
Jaden,Ashman,Wolfiez,gb,120,1,1368308.07,58,67334
Sung Choo,Cho,Maru,kr,121,2,1356351.22,202,1126
Erik,Engel,tOfu,de,122,4,1354831.7,60,10122
Fa Ming,Liang,DDC,mo,123,1,1344720.91,79,2598
Williams,Aubin,Zayt,ca,124,4,1331781.42,72,51578
Thomas Høxbro,Davidsen,Th0masHD,dk,125,12,1330476.44,217,80697
Yang,Xiang,ZiYang,cn,126,35,1325717.83,15,95063
Zehai,Zeng,Order,cn,127,36,1321100.02,32,77958
Anthony,Cuevas-Castro,Shotzzy,us,128,14,1310650.0,81,35588
Cong,Ding,Dy,cn,129,37,1309787.36,63,44114
Matthew,Piper,FormaL,us,130,15,1298932.18,159,1196
Keith,Markovic,NAF,ca,131,5,1298682.06,169,10629
Heng,Lin,NuanYang,cn,132,38,1290681.49,23,89891
Chun,Song,Sccc,cn,133,39,1287091.81,76,19382
Wang,Jiao,Banana,cn,134,40,1283122.84,46,3813
Anucha,Jirawong,Jabz,th,135,1,1280581.39,97,15511
Jiahao,Chen,ZhongYi,cn,136,41,1266318.5,7,128773
Mathieu,Herbaut,ZywOo,fr,138,3,1259234.31,125,31001
Yin-Jun,Xu,Jimmy,tw,139,1,1254709.26,31,69519
Gabriel,Toledo,FalleN,br,137,1,1263415.79,196,2455
Jonathan,Jablonowski,ELiGE,us,140,16,1253096.02,178,11788
Jung Young,Park,Loki,kr,141,3,1245451.79,47,48322
Nate,Kou,Kreo,hk,142,1,1244334.74,60,51948
Chengjun,Zhang,Paparazi,cn,143,42,1242751.39,78,30684
James,Eubanks,Clayster,us,144,17,1233646.68,144,3801
Kenneth,Williams,Kenny,us,145,18,1230728.33,60,22135
Hidema,Kakinuma,kakip,jp,146,2,1228551.54,1,103893
Jiajun,Liu,Sylar,cn,147,43,1226897.63,92,3163
Chengjun,Xie,CS,cn,148,44,1225409.26,9,113264
Tai,Starčič,TaySon,si,149,1,1223513.7,186,80698
Han,Xu,Moogy,cn,150,45,1221917.1,56,10722
Dave,Jong,Rojo,nl,151,2,1215593.33,24,55139
Rocco,Morales,Saf,us,152,19,1210207.02,82,51883
Jakey,Yip,Stewie2k,us,153,20,1208508.91,190,16800
Zhaohui,Wang,SanSheng,cn,154,46,1207851.58,47,2594
Aleksa,Cvetkovic,Queasy,rs,155,1,1204712.1,197,68955
Helvijs,Saukants,broky,lv,156,1,1204432.41,143,54188
Davis,McClellan,Ceice,us,157,21,1202765.47,80,51940
Thiago,Bautista Lapp,k1nG,ar,158,1,1196325.0,72,61896
Ilya,Zalutskiy,Perfecto,ru,159,10,1195570.78,77,49589
Ryung Woo,Park,Dark,kr,160,4,1194415.22,439,3620
Seth,Abner,Scump,us,161,22,1193755.35,172,3696
Zhengzheng,Yao,Yao,cn,162,47,1192164.18,66,3164
Chon Kien,Chan,Oli,my,163,4,1186104.1,70,45192
Ming,Liu,XuanRan,cn,164,48,1180414.42,7,134344
Iwo,Zając,Setty,pl,165,3,1160281.81,133,62311
Kirill Sergeyevich,Mikhailov,Boombl4,ru,167,12,1153538.54,94,36982
Vitalie,Melnic,Save-,md,168,1,1145106.81,47,74016
Zhibiao,Ye,BoBoKa,cn,169,49,1142352.35,97,20101
Ammar,Al-Assaf,ATF,jo,170,3,1141564.71,47,88909
Danil,Skutin,gpk,ru,171,13,1121803.4,62,57309
Dmitry,Sokolov,sh1ro,ru,166,11,1153625.59,92,63706
Zengrong,Lei,MMY!,cn,172,50,1111886.25,68,2581
Egor,Grigorenko,Nightfall,ru,173,14,1111864.0,48,74015
Nicholas,Cannella,nitr0,us,174,23,1108586.23,156,8635
David,Tan,MoonMeander,ca,175,6,1103701.61,92,9839
Linwei,Sun,TanRan,cn,176,51,1098011.24,14,102465
Epitácio,de Melo,TACO,br,177,2,1096161.48,131,12183
Djardel Jicko,Mampusti,DJ,ph,178,1,1091925.12,90,5221
Yuhao,Li,XingYu,cn,179,52,1086350.74,21,89897
Bin,Fu,Q,cn,180,53,1081544.74,46,12671
Fernando,Alvarenga,fer,br,181,3,1078891.52,133,12169
Byung Ryul,Lee,Rogue,kr,182,5,1078863.8,271,4070
Hikaru,Nakamura,Hikaru,us,183,24,1073458.71,339,75837
Marcelo,David,coldzera,br,184,4,1063867.75,145,12182
Kuku,Palad,Kuku,ph,185,2,1063804.1,73,17200
Yi-en,Lin,King,tw,186,2,1062992.63,21,89310
Egor,Vasilyev,flamie,ru,187,15,1041856.83,141,8168
Dylan,Hannon,Envoy,us,188,25,1037729.16,68,22136
Yee Fung,Chai,Mushi,my,189,5,1028588.67,93,3151
Henry,Leverette,Henry,us,190,26,1028375.0,17,110334
Matthew,Filemon,Whitemon,id,191,1,1020261.87,60,51241
Danila,Yakovenko,Malibuca,ru,192,16,1016605.32,168,91149
Austin,Liddicoat,Slasher,us,193,27,1015583.4,103,8645
Timothy,Randrup,Tims,ph,194,3,1015232.55,74,30782
Freddy,Johansson,KRiMZ,se,195,6,1015061.9,174,5000
Matthew,Faitel,mero,ca,196,7,1014450.0,81,80853
Wang,Yuan-hao,UMA,tw,197,3,1005576.2,6,134660
Ryutaro,Okumoto,feg,jp,198,3,1003000.0,2,60390
-,-,sasamumu,tw,199,4,1000000.0,1,77473
Johan,Åström,pieliedie,se,200,7,994746.71,88,4027
Hayden,Krueger,Elevate,ca,201,8,994373.2,34,51885
Jacky,Mao,EternaLEnVy,ca,202,9,992684.79,112,3522
Preston,Greiner,Priestahh,us,203,28,992529.18,60,38097
Haiyang,Zhou,Yang,cn,204,54,992463.55,69,17872
Bradley,Bergstrom,Frosty,us,205,29,991965.0,84,20234
Nemanja,Kovač,huNter,ba,206,2,991400.65,126,20727
Paul,Duarte,SnakeBite,us,207,30,971190.0,97,1191
Mohamed,Tarek,Mohamed Light,eg,208,1,960808.01,49,114778
Ho Seong,Lee,Duke,kr,209,6,959072.51,28,6466
Remco,Arets,Crystallis,nl,210,3,949531.92,50,71503
Mathew,Fiorante,Royal 2,ca,211,10,942052.5,83,1208
Tao,Yang,NoFear,cn,212,55,941698.53,18,89916
Olof,Kajbjer,olofmeister,se,213,8,940855.42,161,5001
Ilya,Ilyuk,Lil,ua,214,7,940510.18,79,11722
Guixin,Guo,NuoYan,cn,215,56,938449.81,15,60565
Jesper,Wecksell,JW,se,217,9,929251.08,190,3875
Janusz,Pogorzelski,snax,pl,216,4,931969.12,180,4998
Wenbo,Yu,JackeyLove,cn,218,57,926556.68,28,34362
Evan,Rogez,M0nkey M00n,fr,219,4,925612.32,99,66249
Jun Sik,Bae,Bang,kr,220,7,915941.68,34,3636
Jae Wan,Lee,Wolf,kr,221,8,913167.87,35,3836
Philip,Dosen,ImperialHal,us,222,31,907471.09,118,40009
Marc Polo,Luis Fausto,Raven,ph,223,4,905759.42,56,27814
Seung Hoon,Cha,Pio,kr,224,9,905337.92,46,56720
Zhejie,Wu,ZiMo,cn,225,58,902977.28,13,95065
Jinxiang,Wu,QingQing,cn,226,59,902161.94,19,89894
Cuyler,Garland,Huke,us,227,32,901785.58,100,14175
Abed,Yusop,Abed,ph,228,5,900796.69,66,30781
David,Hull,Moo,us,229,33,899311.33,76,18220
Zhilei,Xu,BurNIng,cn,230,60,896625.35,78,3157
Wesley,So,GMWSO,us,231,34,895411.64,71,75838
Robin,Rönnquist,flusha,se,232,10,888552.89,191,3878
James,Giezen,TGLTN,au,233,3,888143.25,64,66505
Sam,Larew,Octane,us,234,35,886948.75,75,15103
Hunter,Winn,hwinn,us,235,36,877971.94,62,12917
Jae Dong,Lee,Jaedong,kr,236,10,876398.79,258,1507
Zack,Jordan,Drazah,us,237,37,876025.0,50,76978
Tristan,Nowicky,Shrimzy,us,238,38,875913.44,58,61319
Jeong-wan,Go,ESTH3R,kr,239,11,871858.71,30,43755
Zheng,Sun,Agressif,cn,240,61,871452.21,43,12672
Nathan,Schmitt,NBK,fr,241,5,870287.26,209,3290
Clément,Danglot,Skite,fr,242,6,870019.77,61,49566
Hao,Wang,N9,cn,243,62,867059.42,58,34366
Tobias,Jønsson,CleanX,dk,244,13,862901.87,41,19133
Bakyt,Emilzhanov,Zayac,kg,245,1,861284.52,66,23173
Harry,Pearson,Veno,gb,246,2,857928.89,119,85281
Abay,Khassenov,HObbit,kz,247,1,856161.12,114,25121
Richard,Papillon,shox,fr,248,7,854303.99,226,3881
Artsiom,Barshak,fng,by,249,1,853120.41,124,3586
Nicolas,Villalba,Nicolas99FC,ar,250,2,851431.49,54,40762
Yuanhao,Li,Xiaohu,cn,251,63,850114.07,40,17101
Jannis,Matwin,JannisZ,de,252,5,846713.18,156,63544
Jun Wen,Thiay,JT-,my,253,6,844446.32,63,45190
Damon,Barlow,Karma,ca,254,11,842837.25,127,3693
Nuengnara,Teeramahanon,23savage,th,255,2,841580.26,52,68143
Tue Soon,Chuan,Ah-fu,my,256,7,840619.35,52,12784
Clément,Desplanches,Clem,fr,258,8,832707.39,462,9693
Dmitri,Van de Vrie,Mitr0,nl,259,4,830344.81,105,51611
Jamie,Craven,Insight,gb,260,3,830182.26,57,17877
Danil,Ishutin,Dendi,ua,261,8,828082.53,131,2574
Dmitrii,Dorokhin,DM,ru,262,18,827118.14,58,47449
Tao,Wang,JiuKu,cn,263,64,825805.95,17,90009
Doo-young,Kim,DuBu,kr,264,12,823849.65,51,12146
Stanislav,Potorak,Malr1ne,ru,266,19,819562.93,38,90541
Jae Hyuk,Park,Ruler,kr,267,13,815773.29,35,28954
Aleksi,Virolainen,Aleksib,fi,265,5,821741.03,123,20813
Ladislav,Kovács,GuardiaN,sk,268,2,812938.18,167,3882
Ivan,Moskalenko,Pure,ru,269,20,811793.47,36,99596
Seong Ung,Bae,Bengi,kr,270,14,810882.84,21,3831
Dominique,Mclean,SonicFox,us,271,39,809747.54,147,4603
Riccardo,Romiti,Reynor,it,272,1,804459.73,259,15015
Fan,Bai,rOtK,cn,273,65,800232.07,52,3160
Shin Hyung,Lee,INnoVation,kr,274,15,799192.66,297,2268
Leonid,Vishnyakov,Chopper,ru,257,17,838351.78,104,16270
Tarik,Celik,tarik,us,275,40,797339.21,149,10630
Danylo,Teslenko,Zeus,ua,276,9,792585.87,204,1511
Diego,Lima,Arkhram,us,277,41,791861.68,72,62951
Anders,Vejrgang,Vejrgang,dk,278,14,790987.09,26,111288
Tony,Campbell,Lethul,us,279,42,790771.25,90,1183
Stephane,Lebleu,Shaiiko,fr,281,9,788541.49,51,67272
Jae Ho,Jang,Moon,kr,282,16,782559.43,276,1072
Yong In,Jo,CoreJJ,kr,283,17,782465.36,43,10925
Benjy David,Fish,BenjyFishy,gb,284,4,782337.52,153,61243
Bozhidar,Bozhilov,bzm,bg,285,2,781289.3,42,97155
Zhiyi,Jin,flyfly,cn,286,66,780184.65,52,30665
Tao,Jiang,Adou,cn,287,67,780182.01,18,70620
Wang Ho,Han,Peanut,kr,288,18,771351.93,41,15792
Lotan,Giladi,Spinx,il,289,3,764518.33,77,48798
Patrik,Lindberg,f0rest,se,290,11,763991.04,275,1490
Filip,Kubski,neo,pl,291,5,762311.73,238,1485
Matthew,Tinsley,Kismet,us,292,43,761958.33,48,15924
Brandon,Otell,Dashy,ca,293,12,760147.99,63,36619
Dzhami,Ali,Jame,ru,294,22,757651.06,124,35077
Ilya,Osipov,m0NESY,ru,295,23,757217.61,62,70149
Umut,Gültekin,Umut,de,296,6,756907.63,37,76888
Moussa,Faour,Chapix,se,297,12,755193.13,152,62624
Boris,Vorobiev,magixx,ru,280,21,789501.66,81,72819
Cong,Zhang,WuMing,cn,299,68,748209.82,12,70611
Kenny,Schrub,kennyS,fr,300,10,746091.36,178,3289
Wiktor,Wojtas,TaZ,pl,298,6,748924.02,255,1484
Benjamin,Bance,Bance,gb,301,5,745429.94,67,13964
Jiapeng,Lu,Peng,cn,302,69,743932.92,17,89953
Zhou,Du,Qfeng,cn,303,70,741420.61,19,89955
Hock Chuan,Wong,ChuaN,my,304,8,741416.26,67,3167
Henrik,Mclean,Hen,gb,305,6,741165.84,116,80699
Junlan,Peng,Mlan,cn,306,71,737307.43,14,90013
Paco,Rusiewiez,HyDra,fr,307,11,736550.69,42,82926
Xiangyu,Xu,JinYu,cn,308,72,735796.59,16,95067
Jiajun,Xu,qc,cn,309,73,734838.74,11,103943
Shujie,Feng,Suk,cn,310,74,731279.15,29,77959
Cesar,Bueno,Skyz,us,311,44,730775.0,37,64440
Theo,Ferrer,Crue,se,312,13,728500.0,49,62314
Tae Yang,Jun,TY,kr,313,19,727444.42,177,2224
Mossad,Aldossary,MSdossary7,sa,314,1,724097.02,38,38673
Arif,Anwar,MSS,us,315,45,723577.98,80,4738
Adrián,Dobles,Wisper,bo,316,1,721947.87,61,55842
Qingyou,Fang,Byshow,cn,317,75,721929.21,16,89956
Ioann,Sukharev,Edward,ua,318,10,721618.24,215,1510
Yi,Zhou,Emo,cn,319,76,721235.9,53,49426
Kyle,Jackson,Mongraal,gb,320,7,720629.23,94,50421
Yinan,Chen,MMing,cn,322,77,720366.12,67,89842
Jiahan,Xiong,pyw,cn,323,78,717764.82,54,44128
Rasmus,Beck,sjuush,dk,321,15,720563.09,104,43114
Jordan,Kaplan,JKap,us,324,46,714188.81,97,3702
Aydan,Conrad,Aydan,us,325,47,711936.69,188,51619
Rasmus,Borregaard Winther,Caps,dk,326,16,709619.84,48,12466
Scofield leches,Gomez,Scofield,pe,327,1,707423.07,74,42936
Xinzhou,Liu,garder,cn,328,79,705536.2,33,10718
Jonathan,Berg,Loda,se,329,14,705204.72,105,3141
Hee Joo,Na,Inonix,kr,330,20,703435.17,44,69507
Turner,Tenney,Tfue,us,331,48,702825.01,91,38125
Justin,Savage,jks,au,332,4,702351.43,125,10485
Matvey,Vasyunin,MieRo,ru,333,24,702151.6,36,80851
Young Ho,Lee,Flash,kr,334,21,700820.76,113,1505
Indervir,Dhaliwal,iLLeY,ca,335,13,696553.33,50,52108
Ethan,Arnold,Ethan,us,336,49,693647.05,104,29711
Kevin,Smith,Eco,us,337,50,693275.0,63,20235
Zezhi,Chen,Xz,cn,338,80,692327.42,25,11868
Abdullah,Akhras,Acorn,ca,339,14,691577.39,162,71444
Sung Wook,Joo,Zest,kr,340,22,690082.59,497,4674
David,Čerňanský,frozen,sk,342,3,689231.99,143,24832
Rhye,Perry,Zer0,au,343,5,688927.23,81,70222
Tingpu,Yang,GAI,cn,344,81,688016.28,15,89954
Eon Yeong,Jung,Impact,kr,345,23,686649.73,48,2762
Armel Paul,Tabios,Armel,ph,346,6,684905.69,66,36550
Qinglong,Zeng,QiaoXi,cn,347,82,684334.96,9,115052
Sergey,Rykhtorov,Ax1Le,ru,348,26,683496.95,89,49036
Yi,Pan,Fade,cn,349,83,680524.49,50,30686
Braedon,Boettcher,StelluR,us,350,51,678675.0,58,26896
Run,Ma,Beizhai,cn,351,84,678414.22,25,69523
Jerry,Lundqvist,EGM,se,352,15,677630.08,86,3724
Kuan,Zhou,QianShi,cn,353,85,677281.37,16,89892
Shahar,Shushan,flameZ,il,354,4,676568.06,65,47792
Pengfei,Zheng,Even,cn,355,86,676528.1,60,10244
Ivan,Kapustin,ubah,ru,356,27,676467.77,46,14768
Jonáš,Volek,SabeRLight-,cz,357,1,676227.57,77,55162
Casper,Møller,cadiaN,dk,358,17,675748.01,129,5034
Jiajie,Tang,XiaoYing,cn,359,87,673819.31,17,89899
Donovan,Hunt,TekKz,gb,360,8,672494.8,57,46805
Andrej,Piratov,merstachhh,lv,361,2,671181.79,109,91155
Vladislav,Gorshkov,nafany,ru,362,28,669061.73,89,48581
Yutao,Wu,HuaJuan,cn,363,88,668908.67,14,95073
Joon,Park,Lyn,kr,364,24,668434.36,275,1042
Yoo Jin,Kim,sOs,kr,365,25,665449.84,105,2272
Jordan,Wolfe,Reps,us,366,52,665059.65,104,52436
Timothy,Miller,Bizzle,us,367,53,664776.39,86,51936
Eui Jin,Song,Rookie,kr,368,26,664528.8,33,6013
Nikola,Krudulj,TruleX,rs,369,2,664267.0,92,68957
Oleksandr,Dashkevych,XBOCT,ua,370,11,663158.09,80,2576
Joon Ho,Kim,herO,kr,371,27,660347.49,459,3042
Loïc,Chongthep,BriD,fr,372,12,660125.67,52,46952
Peter,Kata,PeterBot,us,373,54,658724.17,81,91075
Ye,Zhang,Zy,cn,374,89,657282.25,43,104475
Matt,Smith,Kickstart,us,375,55,655509.19,57,50164
Ye,Tian,Meiko,cn,376,90,653537.31,38,12663
Jiwei,Huang,Shiki,cn,377,91,653514.33,16,15754
Tommy,Le,Taiga,no,378,4,651478.86,74,23188
Min Ki,Park,Viol2t,kr,379,28,651349.29,24,50319
Danil,Kryshkovets,donk,ru,341,25,689619.6,47,96385
Joakim,Akterhall,Akke,se,380,16,648738.7,100,3140
Seung Lok,Kang,TheShy,kr,381,29,647773.33,20,39166
Tsunehiro,Kanamori,Gachikun,jp,382,4,646084.53,38,16031
Yoon Su,Eu,soO,kr,383,30,645423.06,220,3481
Haoming,Chen,Ming,cn,384,92,645125.12,25,69520
Hector Antonio,Rodriguez,K1,pe,386,2,642841.68,52,49387
Qian,Zhang,ZQ,cn,387,93,642838.77,47,34750
René,Madsen,TeSeS,dk,389,19,641390.92,103,41398
Austin,Scherff,M1ME,us,390,57,641320.19,44,73319
Nanjiang,Li,Nannnnn,cn,391,94,641141.6,47,88011
Massimo,Franceschi,Atomic,us,385,56,642852.05,114,49530
Will,Wierzba,Rush,us,392,58,640176.87,140,4311
Leon,Khim,Khanada,us,393,59,640124.67,177,62655
Thomas,Trewren,Tommey,gb,394,9,640049.28,237,3799
Henrik,Ahnberg,AdmiralBulldog,se,395,17,638187.73,75,3523
Dae Yeob,Kim,Stats,kr,396,31,637665.08,226,2236
Klaus,Konstanzer,stompy,at,397,2,634421.94,69,57463
Hyun Woo,Byun,ByuN,kr,398,32,634266.17,727,1017
Cooper,Smith,Cooper,us,399,60,634205.0,40,117421
Tae Min,Kang,Taemin,kr,400,33,632268.84,27,43849
Keqin,Wang,XingHen,cn,401,95,631460.45,11,95062
Yawar,Hassan,YawaR,pk,402,2,630136.6,51,19967
Min Soo,Kang,Solar,kr,403,34,629945.0,752,3657
Markus,Kjærbye,Kjaerbye,dk,404,20,626896.93,122,10736
Christopher,Alesund,GeT_RiGhT,se,405,18,626471.76,235,1492
Alexander,Schlik,Vadeal,de,406,7,625695.3,120,83818
Kang,Ye,BuRan,cn,407,96,625517.83,13,95064
Pinyan,Zhou,ZpYan1,cn,408,97,625229.63,50,71468
Jarosław,Jarząbkowski,pashaBiceps,pl,409,7,625065.15,169,1488
Ziwei,Li,Yisheng,cn,410,98,624112.52,11,102847
Martin,Lund,stavn,dk,388,18,641787.63,97,33679
Preston,Sanderson,Prestinni,us,411,61,622473.43,40,31871
Liuyi,Wang,Baolan,cn,412,99,619658.35,17,34363
Ben,Peterson,Edgey,us,413,62,616688.15,137,61776
Yong Min,Kim,Febby,kr,414,35,616244.35,46,4885
Jiawei,Yang,Jwei,cn,415,100,615697.77,36,104494
Hajime,Taniguchi,Tokido,jp,416,5,613805.68,111,1705
Aleksei,Golubev,Qikert,kz,417,2,613616.63,110,39608
Dillon,Price,Attach,us,418,63,612273.35,108,12812
Jean Pierre,Gonzales,Chris Luck,pe,420,3,611364.54,50,52441
Paulo,Henrique Chaves,PHzin,br,421,5,610235.02,33,76886
-,-,Mugi,jp,422,6,608918.88,25,109867
Christiaan,de Jong,chrisJ,nl,423,5,608724.32,152,3951
Xiaojun,Shuang,GuiQi,cn,424,101,607392.87,8,128772
Tengfei,Ma,ShenRen,cn,425,102,606346.53,13,89890
