NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Lin,Jing,Xxs,cn,105,29,1508341.42,96
Rasmus,Fillipsen,MiSeRy,dk,106,11,1505197.74,94
Anton,Shkredov,dyrachYO,ru,107,9,1455949.60,54
-,-,Kakeru,jp,108,1,1455614.85,15
Alec,Sanderson,Arcitys,us,110,12,1426929.09,62
Valeriy,Vakhovskiy,B1t,ua,109,6,1431957.70,71
Ian,Porter,C6,us,111,13,1418092.80,172
Adrian,Trinks,FATA,de,112,3,1410552.48,121
Tianhao,Liu,YiZ,cn,113,30,1407681.64,21
Chao,Lu,Fenrir,cn,114,31,1406042.25,77
Vladimir,Nikogosyan,RodjER,am,115,1,1404636.10,72
Yang,Fan,Fanfan,cn,116,32,1403112.86,17
Bocheng,Zhu,paraboy,cn,117,33,1399954.36,40
Pan,Zhang,Mu,cn,118,34,1390711.71,48
Melchior,Hillenkamp,Seleri,nl,119,1,1382064.91,91
Jaden,Ashman,Wolfiez,gb,120,1,1368308.07,58
Sung Choo,Cho,Maru,kr,121,2,1356351.22,202
Erik,Engel,tOfu,de,122,4,1354831.70,60
Fa Ming,Liang,DDC,mo,123,1,1344720.91,79
Williams,Aubin,Zayt,ca,124,4,1331781.42,72
Thomas Høxbro,Davidsen,Th0masHD,dk,125,12,1330476.44,217
Yang,Xiang,ZiYang,cn,126,35,1325717.83,15
Zehai,Zeng,Order,cn,127,36,1321100.02,32
Anthony,Cuevas-Castro,Shotzzy,us,128,14,1310650.00,81
Cong,Ding,Dy,cn,129,37,1309787.36,63
Matthew,Piper,FormaL,us,130,15,1298932.18,159
Keith,Markovic,NAF,ca,131,5,1298682.06,169
Heng,Lin,NuanYang,cn,132,38,1290681.49,23
Chun,Song,Sccc,cn,133,39,1287091.81,76
Wang,Jiao,Banana,cn,134,40,1283122.84,46
Anucha,Jirawong,Jabz,th,135,1,1280581.39,97
Jiahao,Chen,ZhongYi,cn,136,41,1266318.50,7
Mathieu,Herbaut,ZywOo,fr,138,3,1259234.31,125
Yin-Jun,Xu,Jimmy,tw,139,1,1254709.26,31
Gabriel,Toledo,FalleN,br,137,1,1263415.79,196
Jonathan,Jablonowski,ELiGE,us,140,16,1253096.02,178
Jung Young,Park,Loki,kr,141,3,1245451.79,47
Nate,Kou,Kreo,hk,142,1,1244334.74,60
Chengjun,Zhang,Paparazi,cn,143,42,1242751.39,78
James,Eubanks,Clayster,us,144,17,1233646.68,144
Kenneth,Williams,Kenny,us,145,18,1230728.33,60
Hidema,Kakinuma,kakip,jp,146,2,1228551.54,1
Jiajun,Liu,Sylar,cn,147,43,1226897.63,92
Chengjun,Xie,CS,cn,148,44,1225409.26,9
Tai,Starčič,TaySon,si,149,1,1223513.70,186
Han,Xu,Moogy,cn,150,45,1221917.10,56
Dave,Jong,Rojo,nl,151,2,1215593.33,24
Rocco,Morales,Saf,us,152,19,1210207.02,82
Jakey,Yip,Stewie2k,us,153,20,1208508.91,190
Zhaohui,Wang,SanSheng,cn,154,46,1207851.58,47
Aleksa,Cvetkovic,Queasy,rs,155,1,1204712.10,197
Helvijs,Saukants,broky,lv,156,1,1204432.41,143
Davis,McClellan,Ceice,us,157,21,1202765.47,80
Thiago,Bautista Lapp,k1nG,ar,158,1,1196325.00,72
Ilya,Zalutskiy,Perfecto,ru,159,10,1195570.78,77
Ryung Woo,Park,Dark,kr,160,4,1194415.22,439
Seth,Abner,Scump,us,161,22,1193755.35,172
Zhengzheng,Yao,Yao,cn,162,47,1192164.18,66
Chon Kien,Chan,Oli,my,163,4,1186104.10,70
Ming,Liu,XuanRan,cn,164,48,1180414.42,7
Iwo,Zając,Setty,pl,165,3,1160281.81,133
Kirill Sergeyevich,Mikhailov,Boombl4,ru,167,12,1153538.54,94
Vitalie,Melnic,Save-,md,168,1,1145106.81,47
Zhibiao,Ye,BoBoKa,cn,169,49,1142352.35,97
Ammar,Al-Assaf,ATF,jo,170,3,1141564.71,47
Danil,Skutin,gpk,ru,171,13,1121803.40,62
Dmitry,Sokolov,sh1ro,ru,166,11,1153625.59,92
Zengrong,Lei,MMY!,cn,172,50,1111886.25,68
Egor,Grigorenko,Nightfall,ru,173,14,1111864.00,48
Nicholas,Cannella,nitr0,us,174,23,1108586.23,156
David,Tan,MoonMeander,ca,175,6,1103701.61,92
Linwei,Sun,TanRan,cn,176,51,1098011.24,14
Epitácio,de Melo,TACO,br,177,2,1096161.48,131
Djardel Jicko,Mampusti,DJ,ph,178,1,1091925.12,90
Yuhao,Li,XingYu,cn,179,52,1086350.74,21
Bin,Fu,Q,cn,180,53,1081544.74,46
Fernando,Alvarenga,fer,br,181,3,1078891.52,133
Byung Ryul,Lee,Rogue,kr,182,5,1078863.80,271
Hikaru,Nakamura,Hikaru,us,183,24,1073458.71,339
Marcelo,David,coldzera,br,184,4,1063867.75,145
Kuku,Palad,Kuku,ph,185,2,1063804.10,73
Yi-en,Lin,King,tw,186,2,1062992.63,21
Egor,Vasilyev,flamie,ru,187,15,1041856.83,141
Dylan,Hannon,Envoy,us,188,25,1037729.16,68
Yee Fung,Chai,Mushi,my,189,5,1028588.67,93
Henry,Leverette,Henry,us,190,26,1028375.00,17
Matthew,Filemon,Whitemon,id,191,1,1020261.87,60
Danila,Yakovenko,Malibuca,ru,192,16,1016605.32,168
Austin,Liddicoat,Slasher,us,193,27,1015583.40,103
Timothy,Randrup,Tims,ph,194,3,1015232.55,74
Freddy,Johansson,KRiMZ,se,195,6,1015061.90,174
Matthew,Faitel,mero,ca,196,7,1014450.00,81
Wang,Yuan-hao,UMA,tw,197,3,1005576.20,6
Ryutaro,Okumoto,feg,jp,198,3,1003000.00,2
-,-,sasamumu,tw,199,4,1000000.00,1
Johan,Åström,pieliedie,se,200,7,994746.71,88
Hayden,Krueger,Elevate,ca,201,8,994373.20,34
Jacky,Mao,EternaLEnVy,ca,202,9,992684.79,112
Preston,Greiner,Priestahh,us,203,28,992529.18,60
Haiyang,Zhou,Yang,cn,204,54,992463.55,69
Bradley,Bergstrom,Frosty,us,205,29,991965.00,84
Nemanja,Kovač,huNter,ba,206,2,991400.65,126
Paul,Duarte,SnakeBite,us,207,30,971190.00,97
Mohamed,Tarek,Mohamed Light,eg,208,1,960808.01,49
Ho Seong,Lee,Duke,kr,209,6,959072.51,28
Remco,Arets,Crystallis,nl,210,3,949531.92,50
Mathew,Fiorante,Royal 2,ca,211,10,942052.50,83
Tao,Yang,NoFear,cn,212,55,941698.53,18
Olof,Kajbjer,olofmeister,se,213,8,940855.42,161
Ilya,Ilyuk,Lil,ua,214,7,940510.18,79
Guixin,Guo,NuoYan,cn,215,56,938449.81,15
Jesper,Wecksell,JW,se,217,9,929251.08,190
Janusz,Pogorzelski,snax,pl,216,4,931969.12,180
Wenbo,Yu,JackeyLove,cn,218,57,926556.68,28
Evan,Rogez,M0nkey M00n,fr,219,4,925612.32,99
Jun Sik,Bae,Bang,kr,220,7,915941.68,34
Jae Wan,Lee,Wolf,kr,221,8,913167.87,35
Philip,Dosen,ImperialHal,us,222,31,907471.09,118
Marc Polo,Luis Fausto,Raven,ph,223,4,905759.42,56
Seung Hoon,Cha,Pio,kr,224,9,905337.92,46
Zhejie,Wu,ZiMo,cn,225,58,902977.28,13
Jinxiang,Wu,QingQing,cn,226,59,902161.94,19
Cuyler,Garland,Huke,us,227,32,901785.58,100
Abed,Yusop,Abed,ph,228,5,900796.69,66
David,Hull,Moo,us,229,33,899311.33,76
Zhilei,Xu,BurNIng,cn,230,60,896625.35,78
Wesley,So,GMWSO,us,231,34,895411.64,71
Robin,Rönnquist,flusha,se,232,10,888552.89,191
James,Giezen,TGLTN,au,233,3,888143.25,64
Sam,Larew,Octane,us,234,35,886948.75,75
Hunter,Winn,hwinn,us,235,36,877971.94,62
Jae Dong,Lee,Jaedong,kr,236,10,876398.79,258
Zack,Jordan,Drazah,us,237,37,876025.00,50
Tristan,Nowicky,Shrimzy,us,238,38,875913.44,58
Jeong-wan,Go,ESTH3R,kr,239,11,871858.71,30
Zheng,Sun,Agressif,cn,240,61,871452.21,43
Nathan,Schmitt,NBK,fr,241,5,870287.26,209
Clément,Danglot,Skite,fr,242,6,870019.77,61
Hao,Wang,N9,cn,243,62,867059.42,58
Tobias,Jønsson,CleanX,dk,244,13,862901.87,41
Bakyt,Emilzhanov,Zayac,kg,245,1,861284.52,66
Harry,Pearson,Veno,gb,246,2,857928.89,119
Abay,Khassenov,HObbit,kz,247,1,856161.12,114
Richard,Papillon,shox,fr,248,7,854303.99,226
Artsiom,Barshak,fng,by,249,1,853120.41,124
Nicolas,Villalba,Nicolas99FC,ar,250,2,851431.49,54
Yuanhao,Li,Xiaohu,cn,251,63,850114.07,40
Jannis,Matwin,JannisZ,de,252,5,846713.18,156
Jun Wen,Thiay,JT-,my,253,6,844446.32,63
Damon,Barlow,Karma,ca,254,11,842837.25,127
Nuengnara,Teeramahanon,23savage,th,255,2,841580.26,52
Tue Soon,Chuan,Ah-fu,my,256,7,840619.35,52
Clément,Desplanches,Clem,fr,258,8,832707.39,462
Dmitri,Van de Vrie,Mitr0,nl,259,4,830344.81,105
Jamie,Craven,Insight,gb,260,3,830182.26,57
Danil,Ishutin,Dendi,ua,261,8,828082.53,131
Dmitrii,Dorokhin,DM,ru,262,18,827118.14,58
Tao,Wang,JiuKu,cn,263,64,825805.95,17
Doo-young,Kim,DuBu,kr,264,12,823849.65,51
Stanislav,Potorak,Malr1ne,ru,266,19,819562.93,38
Jae Hyuk,Park,Ruler,kr,267,13,815773.29,35
Aleksi,Virolainen,Aleksib,fi,265,5,821741.03,123
Ladislav,Kovács,GuardiaN,sk,268,2,812938.18,167
Ivan,Moskalenko,Pure,ru,269,20,811793.47,36
