NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Nathan,Berquignol,Nayte,fr,465,16,560308.75,73
Linus,Blomdin,Limmp,se,466,20,559619.65,104
Sun Gu,Kang,Blank,kr,467,41,559518.75,15
Jonathan,Willette,Renegade,us,468,70,558875.00,53
Johnathan,Perez,John,us,469,71,555499.59,78
Zihao,Jian,Uzi,cn,470,115,553869.60,44
Chan Yong,Kang,Ambition,kr,471,42,553454.41,39
Timofey,Yakushin,interz,ru,472,29,553226.34,71
Yan,Nolasco,yanxnz,br,473,6,552795.75,80
Xinzhen,Xu,JiuWei,cn,474,116,551072.59,15
Aleksandr,Batulin,BatulinS,ru,475,30,550577.43,56
Kim,Villafuerte Santos,Gabbi,ph,476,7,550385.15,64
Will,Merriman,mezii,gb,477,11,550135.95,72
Richard,Landström,Xizt,se,478,21,549513.99,177
Se Hyeong,Cho,Mata,kr,479,43,549295.45,38
Saul Leonardo,Mena Segundo,MenaRD,do,480,1,548812.57,41
Min Seok,Ryu,Keria,kr,481,44,546893.12,28
Boon Seng,Kam,Moon,my,482,10,546264.32,66
Garrett,Gordon,GarrettG,us,483,72,546071.69,173
Evan,Verhulst,Verhulst,us,484,73,544299.99,50
Hongcheng,Guo,Xm,cn,485,117,543873.58,55
Myeong Hwan,Yoo,smurf,kr,486,45,541784.30,25
Eric,Wrona,Snip3down,us,487,74,541601.84,162
Sang-don,Lee,Forev,kr,488,46,541537.11,49
Manuel,Bachoore,ManuBachoore,nl,489,7,541194.35,24
Soo-hoon,Lim,Ulsan,kr,490,47,538341.48,58
Taek Yong,Kim,Bisu,kr,491,48,537913.56,178
Min Chul,Jang,MC,kr,492,49,537732.41,124
Kristian,Wienecke,k0nfig,dk,494,21,536247.85,128
Simon,Haag,Handsken,se,495,22,535999.60,107
Rhys,Price,Rated,gb,496,12,535931.89,169
Alexandre,Courant,Kaydop,fr,493,17,536502.69,238
Martin,Foss,MrSavage,no,497,5,534730.90,171
Hyuk Kyu,Kim,Deft,kr,498,50,533702.27,50
Noyan,Ozkose,Genburten,au,499,7,533431.79,80
Peter,Jarguz,stanislaw,ca,500,16,533420.72,121
-,-,Chico,ba,501,3,532651.14,63
Kirill,Lukyanov,Lu,ru,502,31,528456.18,49
Tao,Li,Aze,cn,503,118,528374.39,15
Lamar,Abedi,Accuracy,us,504,75,528328.00,55
Victor,Woodley,Punk,us,505,76,527996.61,130
Chuan,Yu,Summer,cn,506,119,527411.90,47
Cody,Conrod,Clix,us,507,77,526675.29,125
Zhishun,Cao,JiuCheng,cn,508,120,524628.69,12
Lennard,Sill,rezon ay,de,509,8,524185.90,126
Troy,Jaroslawski,Canadian,ca,510,17,523861.90,49
Ian,Wyatt,Enable,us,511,78,522597.12,109
Zane,Hearon,Deadzone,us,512,79,520400.00,53
Bryan,Tebessi,Elemzje,fr,514,18,519392.44,58
Marcin,Jankowski,Jankos,pl,515,9,519257.63,41
Ye Chan,Lee,Scout,kr,517,51,517926.83,27
Evgeniy,Lebedev,FL1T,ru,513,32,520069.39,108
Brendan,Falconer,Falconer,us,519,81,516750.00,33
Kai,Ming,ClearLove,cn,520,121,516407.61,48
Daniel,Piecenski,Daniel,us,516,80,518186.71,120
Anthony,Colandro,ZexRow,us,521,82,516084.73,53
Runzhi,Chen,ShiJiu,cn,522,122,515841.57,9
Yueqiang,Dai,18,cn,523,123,515649.74,53
Hongsen,Zhong,33Svan,cn,526,124,513845.72,24
Finlay,Ferguson,rise.,gb,527,13,513166.54,72
Ronghua,Zeng,coolboy,cn,528,125,513159.42,15
Xingwei,Zhou,DBQ,cn,529,126,513015.12,43
Johannes,Wodarz,tabseN,de,525,9,514122.98,229
Jason,Corral,Firstkiller,us,524,83,514492.05,169
Olivier,Vandroux,Renshiro,fr,530,19,510989.39,59
Josh,Roach,Commandment,us,531,84,510923.99,102
Min Chul,Kim,Soulkey,kr,532,52,510558.67,234
Raphael,Peltzer,BunnyHoppor,de,533,10,508531.23,69
Dmytrii,Dubenyuk,Perfect1ks,ua,534,13,507794.18,49
Woo Je,Choi,Zeus,kr,537,53,505261.89,17
Justin,Morales,jstn.,us,535,85,507045.30,112
Timur,Tulepov,Buster,kz,538,3,504561.82,99
Qingsong,Liu,Crisp,cn,539,127,504245.66,19
Xiaolong,Li,BingC,cn,540,128,503448.04,17
Xu Wen,Wang,Infi,cn,541,129,503347.00,173
Jonas,Olofsson,Lekr0,se,542,23,503203.29,139
Wei-Lin,Chen,tom60229,tw,543,6,502777.87,61
Gustavo,Herdina,Herdsz,br,544,7,502457.50,21
Özgür,Eker,woxic,tr,518,2,517274.45,119
João,Vitor,Jv92,br,546,8,500502.59,19
Ivan,Mihai,iM,ro,536,2,506657.34,85
Diego,Zanello,Kheyze,br,547,9,500249.17,18
Samson,Hidalgo,SamH,ph,548,8,500185.83,38
Shane,Hendrixson,rapha,us,549,86,499346.68,123
Eui Seok,Lee,Fearless,kr,550,54,499150.22,25
Hyeon Joon,Moon,Oner,kr,551,55,498158.99,21
John,Håkansson,hAKIS,se,552,24,497953.51,55
Mariano,Arruda,SquishyMuffinz,ca,553,18,497465.62,157
Zhuojun,Zeng,Xiao Hai,cn,554,130,496886.56,63
Andrew,Diaz,Biffle,us,555,87,496658.33,71
Vincent,Schopenhauer,Happy,fr,556,20,496543.30,129
Maciej,Radzio,teeq,pl,557,10,496421.43,72
Evan,Barron,Cented,ca,558,19,496009.79,132
Min Hyeong,Lee,Gumayusi,kr,559,56,495721.40,19
Tianliang,Gao,Tian,cn,560,131,495638.17,19
Nemanja,Isaković,nexa,rs,561,3,495521.37,126
Avery,Silverman,SVG,us,562,88,494852.80,48
Zhe,Ma,MZiN,cn,563,132,494444.77,46
Felipe,De Lucia,FelipoX,br,564,10,493264.04,20
Mareks,Gaļinskis,YEKINDAR,lv,545,3,501639.57,97
Jim Gunnar,Eliassen,Jeemzz,no,565,6,492471.67,72
Anssi,Pekkonen,mxey,fi,566,6,491755.74,57
Chunjian,Wu,Hasaki,cn,567,133,490968.83,19
Nate,Hill,Nate Hill,us,568,89,490816.61,66
Fredrik,Sterner,REZ,se,569,25,490553.69,136
Wesley,Gittens,Wesley,us,570,90,488875.00,15
Seong Jin,Lee,CuVee,kr,571,57,488379.08,21
Júlio,Giacomelli,julio,br,572,11,488009.02,35
Zebin,Chen,bin,cn,573,134,487291.18,21
Guanhong,Chen,Victoria,cn,574,135,486768.64,50
-,-,Pollo,mx,575,1,485625.00,32
Vladislav,Semenov,Kataomi`,ru,576,33,485561.20,39
Dmitry,Kostin,Happy,ru,577,34,485334.87,625
Joe,Taylor,Trippy,us,578,91,485250.00,58
Axel,Touret,Vatira,fr,579,21,484985.74,79
Doh Wook,Kim,Cure,kr,580,58,484530.40,493
Min Ho,Lee,Crown,kr,581,59,484213.89,18
Artem,Adarkin,xmpL,ru,583,35,483818.10,53
Akbar,Butaev,SoNNeikO,uz,584,1,482976.85,96
Lee Sak,Won,PartinG,kr,585,60,482268.18,248
Patrick,Price,Aches,us,586,92,482231.76,89
Jiacheng,Mi,ChengC,cn,587,136,481974.98,28
Alexandre,Christophe,Andilex,fr,588,22,478787.44,141
Justinas,Lekavicius,jL,lt,582,1,484168.56,74
Qi,Zheng,Xxiao,cn,589,137,476231.84,31
Shiyu,Liu,Mlxg,cn,590,138,475990.65,31
Timothy,Ta,autimatic,us,591,93,475963.49,133
Seung Hyun,Lee,Life,kr,592,61,475900.67,76
Tommy,Wilson,Lucid,us,593,94,475475.00,48
Michael,Ross,ninjaboogie,ph,594,9,475429.22,45
Emilio,Leynez,Geometrics,mx,595,2,475400.00,41
Yajun,Yu,皮球,cn,596,139,474338.58,35
Thomas,Ernst,Scrappy,us,597,95,474200.00,28
Matías,Bonanno,Matias,ar,598,3,473824.97,39
Peinan,Li,Oliveira,cn,599,140,473207.85,240
Michael,Szymaniak,MajorManiak,us,600,96,473062.49,38
Geon Bu,Kim,Canyon,kr,601,62,472839.49,30
Gi Yeol,Cho,Seoul,kr,602,63,472659.13,36
Zhichao,Lin,33z,cn,603,141,472547.39,28
Sasha,Hostyn,Scarlett,ca,604,20,472111.32,283
Jun,Yuan,NingZhi,cn,605,142,471572.03,18
Hongqi,Song,Baby,cn,606,143,469907.03,44
Tyler,Latham,Skadoodle,us,607,97,469150.02,113
Benjamin,Rosendahl,Almxnd,us,608,98,468970.73,143
Maikil,Selim,Golden,se,609,26,468460.98,76
Alexandre,Paoli,Extra,fr,610,23,468280.02,77
Mohammed,Alotaibi,trk511,sa,611,2,468063.57,102
Bradley,Laws,APG,us,612,99,467925.00,82
Jin Soo,Park,Jinsoo,kr,613,64,467754.94,4
Feng,Gao,Bean,cn,614,144,466997.59,41
Shengjun,Luo,LilGhost,cn,615,145,466350.93,45
Je hyeon,Woo,Salute,kr,616,65,465334.84,36
Won Ho,Jeong,KyoCha,kr,617,66,465268.99,31
Juan Carlos,Lopez,SpeCial,mx,619,3,464829.08,351
Dennis,Lepore,Cloakzy,us,620,100,464666.66,50
Noah,Wright,Vivid,us,621,101,464141.67,51
Tian,Tang,Ice,cn,622,146,463651.48,17
Artem,Golubiev,Yuragi,ua,624,14,462972.29,35
Jung Hyeog,Lee,sake,kr,625,67,462790.78,30
Tianyu,Zhang,天宇,cn,626,147,461088.60,12
Martin,Larsson,Rekkles,se,627,27,460380.52,55
Jinshan,Liu,领域,cn,628,148,460051.37,19
Sebastian,Kjaer,Trippernn,dk,629,24,459331.62,104
Enzo,Gianoli O'Connor,Timado,pe,630,5,458874.85,65
Jae Won,Lee,Rich,kr,631,68,458795.42,37
Johnathan,Wendel,Fatal1ty,us,632,102,458739.23,40
Levon,Aronian,LevonAronian,am,633,2,458030.43,47
Marco,Pfeiffer,Snappi,dk,623,23,463566.54,158
Brice,Bigeard,ExoTiiK,fr,634,24,456906.49,77
Atif,Ijaz Butt,Atif Butt,pk,635,3,455924.70,15
Nikolay,Nikolov,Nikobaby,bg,636,3,455262.28,41
Chirasak,Moonsarn,Joena,th,637,4,454965.47,26
Daunte,Gray,Sib,us,638,103,454450.00,37
Lin,Yu,SuJiu,cn,639,149,453922.59,42
Juan,Debiedma,Hungrybox,us,640,104,453715.00,352
Sung Hoon,Choi,Polt,kr,641,69,451943.24,139
Jordan,Thomas,HusKerrs,us,642,105,451558.81,140
Gustavo,Rigal,Psycho,br,643,12,449921.91,39
Théo,Mariano,LikEfac,fr,644,25,447708.08,18
Dauren,Kystaubayev,AdreN,kz,645,4,446899.30,159
Rasmus,Nielsen,HooXi,dk,618,22,465140.92,72
Reiji,Maeda,Reiji,jp,646,7,446188.09,15
Nicholas,Di Costanzo,Classic,us,647,106,445574.00,105
Zhiwei,Ye,YZZ,cn,649,150,444729.40,20
Audric,Jug,JaCkz,fr,648,26,445064.17,119
Joon,Kwon,Fielder,kr,650,70,444459.34,26
Glib,Lipatnikov,Funn1k,ua,651,15,443534.74,102
Cen,Jiang,YYF,cn,652,151,443462.66,42
Caden,Pellegrin,Sypical,us,653,107,442646.72,93
Junlong,Kang,JiuLong,cn,654,152,442411.10,14
João,Vasconcelos,jafonsogv,pt,655,1,442063.43,25
Yaroslav,Kuvichko,spyrro,ua,656,16,441617.18,45
Pierre,Silfver,Turbopolsa,se,657,28,441410.05,138
André,Oliveira,nesk,br,658,13,441406.32,46
Won Seok,Heo,PawN,kr,659,71,440960.12,28
Chris,Sexton,Sweetdreams,us,660,108,440949.78,93
Zachariah,Siddall,Pinq,gb,661,14,440376.16,111
Yang,Zhang,YuYang,cn,662,153,439802.84,19
Zhanpeng,Chen,HuShen,cn,663,154,439002.95,2
Cvetelin,Nikolov,CeRq,bg,664,4,438764.00,129
Jason,Doty,Beaulo,us,665,109,438285.00,33
Jae-min,Bae,Knee,kr,666,72,438204.33,128
Aleksi,Jalli,allu,fi,667,7,437977.97,153
Byung Seon,Kim,Fleta,kr,668,73,437819.27,24
Vincent,Cayonte,Brehze,us,669,110,437362.77,117
Martin,Hansen,Wunder,dk,670,25,437155.62,36
Sergey,Bragin,G,ru,671,36,437118.31,87
Lincoln,Lau,fnx,br,673,14,433315.18,74
Adam,Friberg,friberg,se,674,29,432819.53,165
Thomas,Haly,TJHaly,us,675,111,431496.92,90
David,Tillberg,fuzzface,se,676,30,431329.25,46
Nico,Barcelon,Eyyou,ph,677,10,430272.94,32
Guochuan,You,FlowerC,cn,678,155,429808.99,15
Zixuan,Chen,Z9,cn,679,156,429790.92,15
Mihael,Mehle,Mikyx,si,680,2,428687.23,38
Ian,Nepomniachtchi,lachesisQ,ru,681,37,428539.03,59
Igor,Zhdanov,w0nderful,ua,672,17,434705.03,56
Pu,Yang,NeverEnd,cn,682,157,426681.98,34
Gabriel,Fernandes,pino,br,683,15,426231.47,32
Ricardo,Prass,boltz,br,684,16,425991.50,147
Zhen,Wei,GodV,cn,685,158,425902.46,61
Yuya,Nishikawa,Duelo,jp,686,8,423959.19,15
-,-,Tensai,jp,687,9,423833.34,36
Matthew,DeLisi,super,us,688,112,423599.69,28
Renè,Borg,cajunb,dk,689,26,423344.80,150
Jin Hyeok,Seo,Kanavi,kr,690,74,422850.76,17
Paul,Boyer,sOAZ,fr,691,27,422314.88,77
Joshua K,Rogers,Joshua Rogers,au,692,8,422139.99,33
Jong Hyun,Jung,Mvp,kr,693,75,419621.15,70
Murilo,Muzi,Muzi,br,694,17,418875.30,27
Peyton,Tuma,Dez,us,695,113,418500.00,7
Grant,Espe,Moth,us,697,114,418250.63,17
Victor,Locquet,Fairy Peak!,fr,696,28,418284.90,216
Ludvik Greger,Jahnsen,Aitzy,no,698,7,417991.72,48
Duong,Huynh,Kinstaar,ch,699,1,417441.68,67
Sung Won,Moon,MMA,kr,700,76,417169.17,112
Hyo Bin,Choi,ChoiHyoBin,kr,701,77,417109.58,18
Sergey,Pomerantsev,KITSUNE,ru,702,38,417080.96,33
João,Vasconcellos,felps,br,703,18,415574.55,115
Ádám,Torzsás,torzsi,hu,704,1,415551.22,79
Ji Hoon,Jeong,Chovy,kr,705,78,415484.67,37
Tomáš,Šťastný,oskar,cz,707,2,415090.87,147
Luccas,Molina,Paluh,br,708,20,414508.26,39
Noam,Ackenine,Megga,us,709,115,413738.32,65
Farith,Puente,Matthew,pe,711,6,411682.26,74
Tae Min,Choi,MER1T,kr,712,79,410873.38,29
Sung Ho,Cho,Trap,kr,713,80,409745.58,240
-,-,negima,jp,714,10,409517.18,1
Jake,Grannan,Virtue,au,715,9,409420.90,40
River,Handley,Riversan,us,716,116,409266.67,51
Ørjan,Larsen,TheViper,no,717,8,409095.89,284
Francois,Delaunay,Amanek,fr,718,29,408619.73,133
Ander,Tobal,Neat,es,719,1,408545.17,33
Alireza,Firouzja,Firouzja2003,ir,720,1,408468.09,120
Zdravets,Galabov,Hylissang,bg,721,5,408311.14,52
Jiantao,Song,DaoShi,cn,722,159,407738.60,15
Juhani,Toivonen,Kantoraketti,fi,723,8,407396.56,38
Jonathan Bryle,Santos De Guia,Bryle,ca,724,21,407027.65,53
Yuri,Santos,yuurih,br,706,19,415375.42,123
Artur,Ipatov,ShepparD,ru,725,39,406232.47,39
Danil,Gabov,JoyStiCK,ru,726,40,406061.04,38
Tao,Liu,Yuese,cn,727,160,405771.78,14
Alec,Fultz,Fultz,us,728,117,405600.00,44
Du Cong,Dang,NuckleDu,us,729,118,405246.72,106
Gabriël,Rau,Bwipo,be,730,1,404878.32,37
Spencer,Ealing,HugeGorilla,gb,731,15,404021.96,34
Geon Hee,Cho,BeryL,kr,732,81,403857.83,19
Kenta,Sato,glory,jp,733,11,403446.00,47
Alexandre,Pianaro,bodyy,fr,734,30,403033.82,122
Kaike,Cerato,kscerato,br,710,21,411688.18,108
Valdemar,Vangså,Valde,dk,735,27,402880.86,111
Guipeng,Li,KongJue,cn,736,161,402199.13,3
-,-,Title,jp,737,12,402162.00,8
Arslan,Siddique,Arslan Ash,pk,738,4,402131.90,51
Xiang,Huang,TH000,cn,739,162,401927.69,161
Edy,Juan,Newbz,us,740,119,401185.51,131
Josiah,Berry,Slacked,us,741,120,401114.40,108
Jinxiang,Zeng,顾居居,cn,742,163,401018.73,20
Tae Sang,Kim,doinb,kr,743,82,400844.18,24
Su,Heo,ShowMaker,kr,744,83,400600.01,28
Dong Ha,Kim,Khan,kr,745,84,400503.04,31
Mack,Aesoph,MackWood,us,746,121,400423.33,101
Tyler,DeBondt,TwoWayRoco,us,747,122,400000.00,2
Justin,Deese,Pistola,us,748,123,399835.00,83
Trei,Morris,Zer0,gb,749,16,399383.73,84
Alexis,Bernier,zen,fr,750,31,398551.53,55
Taylor-Petrik,Gatschelhofer,Vic0try0na,at,751,3,397722.58,78
Eric,Wright,ProblemWright,us,752,124,397700.00,19
Kamil,Szkaradek,siuhy,pl,754,11,397286.55,57
Emre,Yilmaz,EmreYilmaz,nl,755,8,397149.98,18
Jianhui,Zhang,格子,cn,756,164,396805.81,16
Kirill,Grishin,Kiryache,ru,757,42,396243.80,91
Dorian,Berman,xertioN,il,758,5,395943.99,52
Pyotr,Bolyshev,fame,ru,753,41,397363.44,69
Tobias,Sieber,ShoWTimE,de,759,11,393064.08,350
Gabriel,Vieira,caard,br,760,22,392954.18,96
Adam Erwann Shah,bin Akhtar Hussein,343,my,761,11,392825.70,34
Andrea,Radovanović,Radosin,fr,762,32,392657.58,73
Rodrigo Lelis,Santos,Lelis,br,763,23,391360.94,67
Fabiano,Caruana,FabianoCaruana,us,764,125,391349.56,88
Lucas,Cardenas,Dukez,mx,765,4,391053.46,66
Lucas,Miguel,carrilho,br,766,24,391043.13,28
Kenny,Deo,Xepher,id,767,3,390723.24,50
Frederik,Rasmussen,Frederik Rasmussen,dk,768,28,389709.78,13
Bryan,Wrzek,Merc,us,769,126,389616.67,31
He,Li,Xinhe,cn,770,165,389490.59,19
Felipe Sá,Ferreira,nade,br,771,25,389144.93,12
Ilya,Pevcaev,Illidan,ru,772,43,388809.49,80
Jin Seo,Kim,Shu,kr,773,85,388196.41,22
João,Gomes,Kamikaze,br,774,26,388164.31,31
Bo,Wu,xwudd,cn,775,166,388060.88,43
Tom,Paparratto,ZooMaa,us,776,127,387519.60,88
Byung Goo,Song,Stork,kr,777,86,387248.21,151
Mohammed,Harkous,Mo_aubameyang,de,778,12,387072.72,33
Matthew,Solomon,Achieved,us,779,128,387000.00,30
Kaibo,Yang,DaoZai,cn,780,167,386424.85,4
Andrei,Piovezan,arT,br,781,27,386358.16,125
Qing,Wang,ChenXia,cn,782,168,385775.17,9
Shaohan,Yang,Erika,cn,783,169,385683.53,36
Naltakyan Edgar,Armenovich,9Class,ru,784,44,385450.17,28
Nicolaj,Jensen,Jensen,dk,785,29,385416.68,29
Jaime,Ramos,Cyber,br,786,28,384651.91,37
Martin,Styk,STYKO,sk,787,4,384019.67,133
Youquan,Zhang,QingChen,cn,788,170,383904.54,15
Andre,Türk,unlucky,at,789,4,383847.78,24
Alexander,Kucheria,DkPhobos,ua,790,18,383575.32,48
Tae Won,Park,March,kr,791,87,383210.97,40
Jesper,Svenningsen,Zven,dk,792,30,381307.39,43
Piyapon,Boonchuay,TheCruz,th,793,5,381210.28,18
Hyun Je,Byun,mini,kr,794,88,381200.65,253
Christian,Savina,Pakazs,pe,795,7,380705.20,52
Boyuan,Jiang,Msir,cn,796,171,380600.97,15
Qi,Zeng,Yagao,cn,797,172,380467.01,19
Illias,Ganeev,illias,ru,798,45,380074.42,21
Chuankai,Tao,Chuchen,cn,799,173,379640.68,16
Do Hyeon,Park,Viper,kr,800,89,379382.13,25
Yoon Jong,Jung,Rain,kr,801,90,379135.65,92
Fabien,Fiey,KIOSHIMA,fr,802,33,379045.59,136
Peng,Ou,Op,cn,803,174,378326.22,33
Myung Woon,Kim,ZerO,kr,804,91,377898.04,211
Denis,Kostin,seized,ru,805,46,377628.99,146
Tianyu,Chen,Cty,cn,806,175,377526.26,25
Quanjun,Wan,SuKi,cn,807,176,377272.16,18
Anish,Giri,AnishGiri,nl,808,9,376889.15,57
Artur,Bloch,Nerchio,pl,809,12,376554.08,451
Dylan,Bosco,Bosco,us,811,129,376083.33,45
Jae Yoon,Ma,sAviOr,kr,812,92,376082.44,42
Jinwei,Chen,577,cn,813,177,376062.39,21
Amine,Benayachi,Itachi,ma,810,1,376386.58,80
Paulo,Damo da Rosa,PVDDR,br,814,29,375500.00,8
Levi,de Weerd,Levi de Weerd,nl,815,10,375382.94,35
Yuxin,Ma,YMao,cn,816,178,375233.81,15
Nikolay,Bityukov,Mir,ru,817,47,375089.30,136
Jens,Aasgaard,Snute,no,818,9,375038.71,313
Jong In,Kim,PraY,kr,819,93,374943.56,37
Joon Yeong,Park,Profit,kr,820,94,374144.66,21
Niclas,Mouritzen,Pengu,dk,821,31,374107.39,34
Karl,Zarth,Alem4o,br,822,30,373284.30,28
Dennis,Edman,dennis,se,823,31,373282.24,102
Tao,Luo,Bamboo,cn,824,179,373064.10,15
Vitalii,Shulga,matic,ru,825,48,372639.71,26
Qigui,Xiao,Li,cn,826,180,372315.37,4
Aidan,Bernero,Ajerss,us,828,130,371522.51,103
Zixuan,Zuo,Aixleft,cn,829,181,371037.68,57
Aaron,Elam,Ace,us,830,131,371037.50,75
Min Chul,Kim,Izayaki,kr,831,95,370914.62,23
Wataru,Ishibashi,posesi,jp,832,13,370815.00,49
Hyeon-Seok,Han,ChiYo,kr,833,96,370727.57,24
Jae Gon,Lee,LeeJaeGon,kr,834,97,370390.41,29
Andrii,Bondarenko,alwayswannafly,ua,835,19,370041.45,106
Saleh,Bakhashwin,Rw9,sa,836,3,369949.44,76
Paulo,Neto,Paulo Neto,br,837,31,369560.06,37
Wenjie,Cao,阿杰,cn,838,182,369391.53,20
Victor,Orudzhev,sdy,ua,839,20,369055.25,101
Jose Leonardo,Padilla Hernandez,Panda,pe,840,8,366855.46,39
Junze,Yan,Letme,cn,841,183,366745.59,20
Purin,Rongkhankaew,Stoned,th,842,6,366303.10,38
Maximilian,Broecker,qojqva,de,843,13,365940.08,92
Malachi,Greiner,Reverse2k,us,845,132,365581.92,74
Ethan,Pink,Fifakill,gb,847,17,364739.09,89
Nathanial,Duvall,Rampy,us,848,133,364593.33,43
Ivan,Antonov,ArtStyle,ua,849,21,364570.71,36
Yu Min,Sung,CH0R0NG,kr,850,98,364160.23,17
Billy,Putnam,MentaL,us,851,134,364051.67,97
Benjamin,Bremer,blameF,dk,846,33,364836.08,96
Manuel,Schenkhuizen,Grubby,nl,852,11,363571.93,174
Kaifeng,Zhang,HuaYun,cn,853,184,361940.72,13
Hamzah,El-Baher,Hera,ca,854,22,361713.01,219
Makenzie,Kelley,Mack,us,855,135,361500.00,24
Andrey,Kuropatkin,Dukalis,ru,856,49,360316.73,47
Miron,Novikov,Effect,ru,857,50,360250.00,15
Jin Woo,Im,Reset,kr,858,99,360243.52,30
Ryan,Chaplo,Chap,us,859,136,360066.67,48
Soo Ho,Park,DongRaeGu,kr,860,100,359737.09,240
Gleb,Zyryanov,kiyotaka,ru,861,51,358999.36,29
Jake,Brumleve,Poach,us,862,137,358933.33,30
David,Danielyan,n0rb3r7,ru,864,52,357939.40,92
Dylan,Short,Roth,us,865,139,357834.53,39
Austin,Aebi,AYYJAYY,us,863,138,358325.95,133
Seung Hoon,Heo,Huni,kr,866,101,357699.25,19
Gabriel,Segat,HeRoMaRinE,de,867,14,357634.70,361
Adam,Gray,Bound,us,868,140,357400.00,24
Jae Ho,Lee,Light,kr,869,102,356809.06,225
Supachai,Singkaew,SchwepXz,th,870,7,356335.44,37
Florian,Rische,syrsoN,de,871,15,356304.37,144
Jun Woo,Kang,Void,kr,872,103,356076.68,22
Egor,Luciko,SwizzY,ru,873,53,355812.50,65
Daniil,Gordeev,Tixzy,ru,874,54,355363.46,24
Woon Sung,Kang,Ttsst,kr,875,104,354363.98,32
Jord,van Geldere,Ibiza,nl,876,12,353969.63,57
Amjad,Alshalabi,Angry Bird,ae,877,1,353835.71,29
Yazid,Bakhashwin,Kiileerrz,sa,878,4,353731.08,60
Aleksy,Jabłoński,Japko,pl,879,13,353112.50,49
Bono,Huis,Bono Huis,nl,880,13,353101.06,27
Jakob,Nygaard,Jabbi,dk,827,32,371842.08,66
Young Han,Kim,Sp9rk1e,kr,881,105,353088.93,21
Kouki,Sekigawa,Devine,jp,882,14,353085.30,13
Jack,Cizek,Cizzorz,us,883,141,353016.67,8
John,Salter,BaRRaCCuDDa,us,884,142,353006.65,27
Min Seung,Kang,Haru,kr,885,106,352776.52,15
Tae Hoon,Kim,Edison,kr,886,107,352402.69,16
Shuo-Chieh,Hu,SwordArt,tw,887,7,352298.16,38
Casper,Notto,Hunterace,no,888,10,352116.26,37
Qilun,Xiao,XqLuN,cn,889,185,351641.24,41
Nils,Gruhne,k1to,de,890,16,351469.90,154
Mathias,Lauridsen,MSL,dk,891,34,351357.64,133
Oscar Dalgas,Refsgaard,Refsgaard,dk,892,35,351318.16,136
Alexis,Eusebio,MarineLorD,fr,893,34,351211.67,223
Engin,Küpeli,MAJ3R,tr,844,3,365614.44,109
Alexey,Tolov,mequ,ru,894,55,350563.46,23
Biao,Wang,Mix6GG,cn,895,186,350465.89,8
Karl,Baldovino,Karl,ph,896,11,349796.67,32
Ratchanon,Kunrayason,Moshi,th,897,8,349386.73,18
Jung Soo,Kim,Surrender,kr,898,108,349001.57,55
Weiliang,Lu,Fly100%,cn,899,187,348697.80,154
Pavel,Beltiukov,Pavel,ru,900,56,348648.00,33
Paweł,Dycha,dycha,pl,901,14,348562.94,120
-,-,sitetampo,jp,902,15,348500.02,33
Saieful,Ilham,Fbz,id,903,4,348063.38,60
Henrique,Teles,hen1,br,904,32,347933.86,126
Kang,Wang,shou,cn,905,188,346860.96,42
Justin,Fargo-Palmer,SiLLY,us,906,143,346638.85,47
Hyeong Seok,Jang,Looper,kr,907,109,346636.78,17
Roan,Aléssio,Revo,br,908,33,346603.13,25
Pavle,Bošković,Maden,me,909,1,346515.56,91
Mikołaj,Ogonowski,Elazer,pl,910,15,346184.65,292
Seon Chang,Lee,ANS,kr,911,110,345667.80,16
Yuk Cheung,Wong,Chris Wong,hk,912,2,345537.33,14
Byung Jae,Koh,GuMiho,kr,913,111,345511.10,509
Jack,Robertson,Doki,gb,914,18,345190.22,32
Drini,Gjoka,Drini,us,915,144,345000.00,17
Konstantin,Levkin,Mellman,ge,916,1,344693.10,37
Tyler,Polchow,TeePee,us,917,145,344453.71,106
ZhanYa,Tu,Xbei,cn,918,189,344079.30,49
Adil,Benrlitom,ScreaM,be,919,2,342674.11,153
Aleksandr,Pirogov,alyaGG,ru,920,57,342518.10,34
Nolan,Burdick,Shinboi,ca,921,23,342382.75,43
Joseph,Mauro,Ritual,us,922,146,341570.83,71
-,-,Zand,dk,923,36,341325.00,3
Tyler,-,hiimtylerh,ca,924,24,341250.00,1
Stephan,-,Suezhoo,be,925,3,341250.00,1
Lucas,Schinke,soulz1,br,926,34,340440.98,26
Caio,da Silva,caiotg1,br,927,35,340338.55,97
Fabian,Hällsten​,Fabian,se,928,32,340115.99,26
Jonathan,Marquez,Jonbeast,us,929,147,340000.00,12
Sebastian,Job,Sebastian Job,gb,930,19,339454.92,29
Mason,Venne,mason,us,931,148,339235.49,25
Daniel,Henrique vaz,Mafioso,br,932,36,339173.13,22
David,Caero,Dog,us,933,149,339090.89,59
Kento,Suzuki,SaRa,jp,934,16,338440.79,15
Philip,Aistrup Larsen,aizy,dk,935,37,337991.67,121
Ahmad,Abdullah,Ahmad,sa,936,5,337858.06,90
Derek,Ruffin,iDom,us,937,150,337762.37,99
Yoon Yeol,Lee,NaDa,kr,938,112,337401.66,70
Rachata,Saethian,GetHigh,th,939,9,337149.84,21
Brian,Eason,bloodyface,us,940,151,336578.00,52
