PlayerId,FirstTournament,LastTournament,CareerLengthYears,TotalUSDPrize,CurrentHandle,CareerStatus,StartYear,EndYear,GameType,FirstTournamentYear,TotalTournaments,LastTournamentYear,GameId,GameName,Top10PctEarningsRatio
3164,2010-07-20,2024-05-10,13.806981519507186,1192164.18,Yao,Ongoing,2010,2024,MOBA,2010,66,2024,231,Dota 2,0.8519164247426411
3166,2010-08-01,2024-05-10,13.774127310061601,443462.66,YYF,Ongoing,2010,2024,MOBA,2010,42,2024,231,Dota 2,0.8093993291450421
3167,2009-11-29,2022-06-01,12.503764544832306,741416.26,ChuaN,Inactive,2009,2022,MOBA,2009,67,2022,231,Dota 2,0.6817228510724735
3168,2011-08-09,2024-05-10,12.752908966461328,1764633.21,Faith,Ongoing,2011,2024,MOBA,2011,108,2024,231,Dota 2,0.7527110642536136
3176,2012-09-08,2019-08-31,6.976043805612594,374943.56,PraY,Inactive,2012,2019,MOBA,2012,37,2019,164,League of Legends,0.45302079001033296
3254,2011-12-07,2025-05-11,13.426420260095824,3202529.59,Sneyking,Ongoing,2011,2025,MOBA,2011,119,2025,231,Dota 2,0.788112281015857
3256,2012-06-30,2023-07-30,11.080082135523615,2073582.54,Aui_2000,Inactive,2012,2023,MOBA,2012,89,2023,231,Dota 2,0.8963670023738916
3259,2012-04-11,2019-06-16,7.17864476386037,324990.29,Silent,Inactive,2012,2019,MOBA,2012,92,2019,231,Dota 2,0.6437285389589098
3287,2009-03-21,2024-02-11,14.89390828199863,432819.53,friberg,Ongoing,2009,2024,FPS,2009,165,2024,245,Counter-Strike: Global Offensive,0.4790101984482492
3289,2011-12-18,2024-02-11,12.150581793292266,746091.36,kennyS,Ongoing,2011,2024,FPS,2011,178,2024,245,Counter-Strike: Global Offensive,0.5855488195213842
3290,2009-12-20,2025-04-06,15.293634496919918,870287.26,NBK,Ongoing,2009,2025,FPS,2009,209,2025,245,Counter-Strike: Global Offensive,0.5855144087467837
3293,2007-09-02,2023-12-03,16.251882272416154,562227.09,RpK,Inactive,2007,2023,FPS,2007,164,2023,245,Counter-Strike: Global Offensive,0.5748545061907147
3304,2010-11-28,2021-10-17,10.885694729637235,7184163.05,N0tail,Inactive,2010,2021,MOBA,2010,130,2021,231,Dota 2,0.9368886400452031
3305,2010-11-28,2025-05-11,14.45037645448323,2884903.39,Fly,Ongoing,2010,2025,MOBA,2010,152,2025,231,Dota 2,0.7661034795880779
3327,2011-10-09,2023-06-05,11.655030800821356,443534.74,Funn1k,Inactive,2011,2023,MOBA,2011,102,2023,231,Dota 2,0.7236428712943086
3386,2012-09-27,2021-09-02,8.930869267624914,516407.61,ClearLove,Inactive,2012,2021,MOBA,2012,48,2021,164,League of Legends,0.32648782076656974
3430,2011-11-20,2021-06-20,9.582477754962355,388809.49,Illidan,Inactive,2011,2021,MOBA,2011,80,2021,231,Dota 2,0.8010117533144638
3435,2012-10-18,2024-12-10,12.145106091718,409745.58,Trap,Ongoing,2012,2024,RTS,2012,240,2024,151,StarCraft II,0.5973194953917079
3459,2012-10-21,2024-11-24,12.093086926762492,365940.08,qojqva,Ongoing,2012,2024,MOBA,2012,92,2024,231,Dota 2,0.6057927543416435
3481,2011-09-17,2024-09-01,12.958247775496236,645423.06,soO,Ongoing,2011,2024,RTS,2011,220,2024,151,StarCraft II,0.7237694530738426
3513,2012-08-31,2024-12-08,12.271047227926077,325082.77,imp,Ongoing,2012,2024,MOBA,2012,29,2024,164,League of Legends,0.6441116466957644
3518,2012-01-16,2024-12-01,12.876112251882272,357634.7,HeRoMaRinE,Ongoing,2012,2024,RTS,2012,361,2024,151,StarCraft II,0.6767984740619315
3522,2012-09-22,2021-09-26,9.010266940451745,992684.79,EternaLEnVy,Inactive,2012,2021,MOBA,2012,112,2021,231,Dota 2,0.6536859069043136
3523,2012-09-22,2023-10-01,11.02258726899384,638187.73,AdmiralBulldog,Inactive,2012,2023,MOBA,2012,75,2023,231,Dota 2,0.771997145972039
3524,2011-11-27,2023-06-28,11.58384668035592,2749194.7,s4,Inactive,2011,2023,MOBA,2011,143,2023,231,Dota 2,0.7924785245042899
3554,2012-06-18,2024-09-22,12.262833675564682,460380.52,Rekkles,Ongoing,2012,2024,MOBA,2012,55,2024,164,League of Legends,0.5769682548960068
3586,2012-12-02,2024-07-21,11.633127994524298,853120.41,fng,Ongoing,2012,2024,MOBA,2012,124,2024,231,Dota 2,0.6295765405098266
3605,2012-08-12,2025-03-08,12.569472963723477,405246.72,NuckleDu,Ongoing,2012,2025,Fighting,2012,106,2025,434,Street Fighter V,0.7600805942074261
3620,2012-08-19,2025-03-16,12.572210814510608,1194415.22,Dark,Ongoing,2012,2025,RTS,2012,439,2025,151,StarCraft II,0.7727182567098501
3636,2013-02-01,2021-01-02,7.917864476386037,915941.68,Bang,Inactive,2013,2021,MOBA,2013,34,2021,164,League of Legends,0.6957338879921213
3641,2012-11-15,2021-12-19,9.092402464065708,586016.52,Ohaiyo,Inactive,2012,2021,MOBA,2012,71,2021,231,Dota 2,0.7903052783275377
3642,2012-05-26,2022-07-17,10.140999315537304,475429.22,ninjaboogie,Inactive,2012,2022,MOBA,2012,45,2022,231,Dota 2,0.66979669573893
3657,2013-02-27,2025-03-16,12.046543463381246,629945.0,Solar,Ongoing,2013,2025,RTS,2013,752,2025,151,StarCraft II,0.7717740631328399
3672,2010-02-07,2025-05-11,15.255304585900069,1929503.03,gla1ve,Ongoing,2010,2025,FPS,2010,190,2025,245,Counter-Strike: Global Offensive,0.6551218717937106
3673,2010-02-07,2023-06-17,13.35523613963039,351357.64,MSL,Inactive,2010,2023,FPS,2010,133,2023,245,Counter-Strike: Global Offensive,0.5357954095008607
3676,2005-11-20,2023-06-20,17.579739904175224,446899.3,AdreN,Inactive,2005,2023,FPS,2005,159,2023,245,Counter-Strike: Global Offensive,0.6468645473291912
3678,2010-07-04,2023-03-04,12.6652977412731,342674.11,ScreaM,Inactive,2010,2023,FPS,2010,153,2023,245,Counter-Strike: Global Offensive,0.5289698584689787
3679,2017-06-16,2023-06-11,5.984941820670773,2003061.83,Xyp9x,Inactive,2017,2023,FPS,2017,200,2023,245,Counter-Strike: Global Offensive,0.5491390550555266
3690,2012-08-19,2022-10-30,10.195756331279945,1410552.48,FATA,Inactive,2012,2022,MOBA,2012,121,2022,231,Dota 2,0.5982751211717565
3693,2011-07-31,2023-11-28,12.328542094455852,842837.25,Karma,Inactive,2011,2023,FPS,2011,127,2023,364,Call of Duty: Advanced Warfare,0.6932794939364121
3696,2011-02-21,2023-11-28,12.766598220396988,1193755.35,Scump,Inactive,2011,2023,FPS,2011,172,2023,364,Call of Duty: Advanced Warfare,0.6446014864225296
3702,2010-03-13,2020-07-15,10.340862422997947,714188.81,JKap,Inactive,2010,2020,FPS,2010,97,2020,364,Call of Duty: Advanced Warfare,0.7278556054630457
3704,2010-10-30,2021-11-17,11.049965776865161,344453.71,TeePee,Inactive,2010,2021,Battle Royale,2010,106,2021,648,Call of Duty: Warzone,0.7033814525033424
3705,2010-08-04,2021-11-19,11.293634496919918,482231.76,Aches,Inactive,2010,2021,FPS,2010,89,2021,364,Call of Duty: Advanced Warfare,0.7382226973186617
3710,2011-04-03,2022-05-08,11.096509240246407,555499.59,John,Inactive,2011,2022,FPS,2011,78,2022,490,Call of Duty: WWII,0.6602432205296274
3724,2012-02-02,2019-12-14,7.863107460643395,677630.08,EGM,Inactive,2012,2019,MOBA,2012,86,2019,231,Dota 2,0.7918518040707185
